Date,Open,High,Low,Close ,Adj Close ,Currency,Volume
6-Dec-24,140.49,147.54,140.48,146.32,144.72,USD,3547400
5-Dec-24,128,140.33,126.84,139.73,138.2,USD,7149800
4-Dec-24,134.13,134.86,133.71,134.15,132.69,USD,2872600
3-Dec-24,133.75,134.09,132.51,134.09,132.63,USD,2224600
2-Dec-24,133.67,133.9,132.76,133.55,132.09,USD,4496300
29-Nov-24,132.6,133.71,132.53,133.5,132.04,USD,1398100
28-Nov-24,133.49,133.66,133.05,133.3,131.84,USD,851800
27-Nov-24,132.37,133.59,132.2,133.21,131.76,USD,1786300
26-Nov-24,133.34,133.63,132.2,132.83,131.38,USD,3000800
25-Nov-24,133,134.16,132.89,133.64,132.18,USD,4710500
22-Nov-24,132.24,132.89,132.03,132.68,131.23,USD,2821000
21-Nov-24,131.45,132.83,131.06,132.24,130.8,USD,3056000
20-Nov-24,131.41,131.55,130.78,131.48,130.04,USD,1574400
19-Nov-24,129.17,131.44,128.52,131.41,129.98,USD,1640600
18-Nov-24,131.32,131.55,130.03,130.33,128.91,USD,3536800
15-Nov-24,131.55,132.42,131.17,131.32,129.89,USD,5376000
14-Nov-24,131.25,132.41,131.2,131.3,129.87,USD,2037200
13-Nov-24,131.53,131.69,130.34,130.88,129.45,USD,1058600
12-Nov-24,130.5,131.48,130.21,131.24,129.81,USD,4730700
11-Nov-24,129.88,131.19,129.79,131.05,129.62,USD,5439900
8-Nov-24,129.21,129.41,128.36,129.3,127.89,USD,1325200
7-Nov-24,130.1,130.5,128.98,129.21,127.8,USD,4261100
6-Nov-24,129.27,129.97,127.37,129.81,128.39,USD,2718400
5-Nov-24,125.44,126.37,124.93,126.33,124.95,USD,3721500
4-Nov-24,126.36,126.7,124.6,125.22,123.85,USD,4267100
1-Nov-24,127.44,128.07,126.36,126.65,125.27,USD,1997600
31-Oct-24,127.9,128.05,125.83,126.88,125.49,USD,8681400
30-Oct-24,1.55 Dividend,,,,,USD,
30-Oct-24,127.43,128.2,127,127.74,126.35,USD,7683100
29-Oct-24,129.12,130.01,129.03,129.54,126.59,USD,5133900
28-Oct-24,128.9,130.11,128.9,129.98,127.02,USD,5152100
25-Oct-24,129.52,130.17,128.82,128.95,126.02,USD,3617300
24-Oct-24,128.14,129.69,128.11,129.34,126.4,USD,6286900
23-Oct-24,128.2,129.18,127.99,129.16,126.22,USD,1302900
22-Oct-24,127.65,128.78,127.28,128.59,125.66,USD,2700300
21-Oct-24,129.9,130.09,127.73,128.43,125.51,USD,2804100
18-Oct-24,129.31,130.13,128.72,129.87,126.91,USD,2537400
17-Oct-24,129.56,129.94,128.71,129.12,126.18,USD,4510400
16-Oct-24,128.04,129.37,128.04,129.06,126.12,USD,3722200
15-Oct-24,128,128.43,127.51,127.86,124.95,USD,2655600
11-Oct-24,125.41,127.85,125.37,127.51,124.61,USD,4853200
10-Oct-24,122.74,125.36,122.68,125.31,122.46,USD,5075100
9-Oct-24,122.6,123.23,122.26,123.1,120.3,USD,1306500
8-Oct-24,123.61,124,122.61,122.92,120.12,USD,1334000
7-Oct-24,124.14,124.6,123.21,123.82,121,USD,3335100
4-Oct-24,124.24,125.05,124.16,124.3,121.47,USD,4268500
3-Oct-24,122.54,124.03,122.24,123.66,120.85,USD,2519700
2-Oct-24,122.91,124.27,122.67,122.89,120.09,USD,2546800
1-Oct-24,122.05,123.34,121.18,123.12,120.32,USD,4721600
30-Sep-24,122.01,122.43,121.42,122.04,119.26,USD,2868200
27-Sep-24,122.95,123.47,121.93,122.19,119.41,USD,1686700
26-Sep-24,121,122.92,120.92,122.26,119.48,USD,1782900
25-Sep-24,121.4,121.49,120.42,120.64,117.9,USD,1251500
24-Sep-24,120.9,121.93,120.9,121.13,118.37,USD,2830700
23-Sep-24,121.9,122.13,120.94,121.56,118.79,USD,2398400
20-Sep-24,120.6,122.13,120.2,122.01,119.23,USD,8095400
19-Sep-24,119.84,120.8,119.11,120.41,117.67,USD,3903900
18-Sep-24,119.08,119.21,117.97,118.33,115.64,USD,1695500
17-Sep-24,118.47,119.74,118.44,119.3,116.59,USD,1973100
16-Sep-24,116.54,118.27,116.54,117.98,115.3,USD,2263300
13-Sep-24,116.15,117.75,115.77,116.29,113.64,USD,2961200
